,Unnamed: 0,Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
13,13,Sercoplus,MB,AM4,AM4,-,"MAINBOARD MSI MPG Z690 CARBON WIFI, DDR5, LGA 1700", 1 ,"(S/ 1.797,28)",https://www.sercoplus.com/socket-amd-am4/13481-mainboard-msi-mpg-z690-carbon-wifi-ddr5.html
14,14,Sercoplus,MB,AM4,AM4,-,MAINBOARD GIGABYTE X570 UD AM4 AMD, 10 ,"(S/ 654,24)",https://www.sercoplus.com/socket-amd-am4/10550-mainboard-gigabyte-x570-ud-am4-amd.html
15,15,Sercoplus,MB,AM4,AM4,-,"MAINBOARD GIGABYTE B550 VISION D, WI-FI AM4 AMD", 14 ,"(S/ 1.316,00)",https://www.sercoplus.com/socket-amd-am4/11334-mainboard-gigabyte-b550-vision-d-wi-fi.html
16,16,Sercoplus,MB,AM4,AM4,-,"MAINBOARD GIGABYTE A520M AORUS ELITE, AMD, AM4", 6 ,"(S/ 359,46)",https://www.sercoplus.com/socket-amd-am4/13486-mainboard-gigabyte-a520m-aorus-elite-am.html
17,17,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK B450M PRO4-F AM4 AMD, >20 ,"(S/ 323,36)",https://www.sercoplus.com/socket-amd-am4/10862-mainboard-asrock-b450-pro4-f-am4-amd-ddr4-sata-usb-3-1-90-mxbab0-a0uayz.html
18,18,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME B450M-A-II AM4 AMD, 11 ,"(S/ 338,40)",https://www.sercoplus.com/socket-amd-am4/11609-mainboard-asus-prime-b450m-a-ii-am4-amd.html
19,19,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASUS TUF X470-PLUS GAMING, AM4, AMD", 4 ,"(S/ 533,92)",https://www.sercoplus.com/socket-amd-am4/13505-mainboard-asus-tuf-x470-plus-gaming-am4.html
20,20,Sercoplus,MB,AM4,AM4,-,MAINBOARD MSI A320M A PRO MAX AM4 AMD, >20 ,"(S/ 175,97)",https://www.sercoplus.com/socket-amd-am4/10969-mainboard-msi-a320m-a-pro-max.html
21,21,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASROCK X570 TAICHI, WI- FI + BT 5.0", 3 ,"(S/ 1.383,68)",https://www.sercoplus.com/socket-amd-am4/11968-mainboard-asrock-x570-taichi-wi-fi.html
22,22,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASROCK PRO4 B550, AM4 AMD", 6 ,"(S/ 624,16)",https://www.sercoplus.com/socket-amd-am4/13582-mainboard-asrock-pro4-am4-amd.html
23,23,Sercoplus,MB,AM4,AM4,-,"MAINBOARD MSI B450 GAMING PLUS MAX, AMD AM4", 0 ,"(S/ 436,16)",https://www.sercoplus.com/socket-amd-am4/10974-mainboard-msi-b450-gaming-plus-max-am4-amd-ddr4-b450-gaming-plus-max.html
24,24,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK A320-HDV R4.0 AM4 AMD, 8 ,"(S/ 218,08)",https://www.sercoplus.com/socket-amd-am4/11184-mainboard-asrock-a320-hdv-r4-0-am4-amd.html
25,25,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASROCK X570 CREATOR, WI-FI, BT, AM4, AMD", 1 ,"(S/ 2.286,08)",https://www.sercoplus.com/socket-amd-am4/12668-mainboard-asrock-x570-creator-wi-fi-bt.html
26,26,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME A320M-K AM4 AMD, >20 ,"(S/ 248,16)",https://www.sercoplus.com/socket-amd-am4/6367-mb-asus-amd-a320m-k-s-v-l-ddr4.html
27,27,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK X570 STEEL LEGEND AM4 AMD., 11 ,"(S/ 977,60)",https://www.sercoplus.com/socket-amd-am4/11237-mainboard-asrock-x570-steel-legend-am4-a.html
28,28,Sercoplus,MB,AM4,AM4,-,"MAINBOARD MSI MAG B550M BAZOOKA, AM4 AMD", 0 ,"(S/ 511,36)",https://www.sercoplus.com/socket-amd-am4/12750-mainboard-msi-mag-b550m-bazooka-am4-amd.html
29,29,Sercoplus,MB,AM4,AM4,-,MAINBOARD GIGABYTE GA-A320-S2H AM4 AMD, >20 ,"(S/ 180,48)",https://www.sercoplus.com/socket-amd-am4/8136-mainboard-gigabyte-ga-a320-s2h-am4.html
