Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
Sercoplus,Almacenamiento,-,SSD,240GB,SSD KINGSTON A400 240GB SATA 2.5,20,131.48,https://www.sercoplus.com/ssd-25-sata/7591-ssd-kingston-a400-120gb.html
Sercoplus,Almacenamiento,-,DISCO,1TB,DISCO DURO EXTERNO SEAGATE BASIC 1TB,20,182.4,https://www.sercoplus.com/discos-externos/12423-disco-duro-externo-seagate-basic-1tb.html
Sercoplus,Almacenamiento,-,SSD,500GB,"SSD WESTERN DIGITAL, BLACK SN770, 500GB M.2 PCIe NVME",13,353.78,https://www.sercoplus.com/ssd-m-2-pcie/13696-ssd-western-digital-black-sn770-500gb.html
Sercoplus,Almacenamiento,-,SSD,480GB,"SSD KINGSTON A400 480GB SATA 2.5""",20,222.68,https://www.sercoplus.com/ssd-25-sata/7592-ssd-kingston-a400-480gb.html
Sercoplus,Almacenamiento,-,SSD,240GB,SSD KINGSTON A400 240GB SATA 2.5,20,131.48,https://www.sercoplus.com/ssd-25-sata/7591-ssd-kingston-a400-120gb.html
Sercoplus,Almacenamiento,-,DISCO,1TB,DISCO DURO EXTERNO SEAGATE BASIC 1TB,20,182.4,https://www.sercoplus.com/discos-externos/12423-disco-duro-externo-seagate-basic-1tb.html
Sercoplus,Almacenamiento,-,SSD,500GB,"SSD WESTERN DIGITAL, BLACK SN770, 500GB M.2 PCIe NVME",13,353.78,https://www.sercoplus.com/ssd-m-2-pcie/13696-ssd-western-digital-black-sn770-500gb.html
Sercoplus,Almacenamiento,-,SSD,480GB,"SSD KINGSTON A400 480GB SATA 2.5""",20,222.68,https://www.sercoplus.com/ssd-25-sata/7592-ssd-kingston-a400-480gb.html
Sercoplus,Almacenamiento,-,SSD,120GB,"SSD WESTERN DIGITAL GREEN 120GB SATA 2.5""",20,110.2,https://www.sercoplus.com/ssd-25-sata/7607-ssd-western-digital-120gb-sata-2-5-7mm.html
Sercoplus,Almacenamiento,-,SSD,480GB,"SSD PNY CS900 480GB SATA 2.5""",20,229.52,https://www.sercoplus.com/ssd-25-sata/10554-ssd-pny-cs900-480gb-sata-2-5.html
Sercoplus,Almacenamiento,-,SSD,250GB,SSD CRUCIAL P5 250GB M.2 PCIe NVME,12,243.2,https://www.sercoplus.com/ssd-m-2-pcie/12555-ssd-crucial-p5-250gb-m-2-pcie-nvme.html
Sercoplus,Almacenamiento,-,DISCO,6TB,DISCO DURO WESTERN DIGITAL PURPURA SURVEILLANCE 6TB,16,676.4,https://www.sercoplus.com/discos-video-vigilancia/13745-disco-duro-western-digital-purpura-6tb.html
Sercoplus,Almacenamiento,-,DISCO,1TB,DISCO DURO SEAGATE BARRACUDA 1TB SATA 7200 RPM,20,174.8,https://www.sercoplus.com/discos-pc/5673-hd-sea-1tb-sata3-7200-rpm.html
Sercoplus,Almacenamiento,-,SSD,240GB,"SSD GIGABYTE 240GB SATA 2.5""",20,121.98,https://www.sercoplus.com/ssd-25-sata/9859-ssd-gigabyte-240gb-sata-2-5.html
Sercoplus,Almacenamiento,-,SSD,240GB,SSD CORSAIR FORCE SERIES MP510 240GB M.2 PCIe NVME,6,201.4,https://www.sercoplus.com/ssd-m-2-pcie/12029-ssd-corsair-force-series-mp510-240gb-m-2.html
Sercoplus,Almacenamiento,-,SSD,500GB,"SSD KINGSTON FURY RENEGADE, 500GB M.2 PCIe 4.0 NVME",18,509.2,https://www.sercoplus.com/ssd-m-2-pcie/13417-ssd-kingston-fury-renegade-500gb-m-2-pc.html
Sercoplus,Almacenamiento,-,DISCO,1TB,DISCO DURO WESTERN DIGITAL PURPURA SURVEILLANCE 1TB,20,189.24,https://www.sercoplus.com/discos-video-vigilancia/6155-hd-wd-1tb-64mb-sata-6gb-s-purp.html
Sercoplus,Almacenamiento,-,DISCO,2TB,DISCO DURO SEAGATE BARRACUDA 2TB SATA 5400 RPM,20,209.76,https://www.sercoplus.com/discos-pc/9960-disco-duro-seagate-barracuda-2tb-sata.html
